,sc_id,supercon_formula,cleaned_formula,material_dict,highest_Tc,average_Tc,std_Tc,entry_count,composition
0,[12787],Ag0.002Al0.998,Ag0.002Al0.998,"{'Ag': 0.002, 'Al': 0.998}",1.1280000000000001,1.1280000000000001,0.0,1,Ag0.002 Al0.998
1,[12816],Ag0.005Zn0.995,Ag0.005Zn0.995,"{'Ag': 0.005, 'Zn': 0.995}",0.763,0.763,0.0,1,Ag0.005 Zn0.995
2,[25145],Bi3.99Ag0.01S3O4,Bi3.99Ag0.01S3O4,"{'Ag': 0.01, 'Bi': 3.99, 'O': 4.0, 'S': 3.0}",4.31,4.31,0.0,1,Bi3.99 Ag0.01 S3 O4
3,[23179],Sr1Pd1.98Ag0.02Ge2,Sr1Pd1.98Ag0.02Ge2,"{'Ag': 0.02, 'Ge': 2.0, 'Pd': 1.98, 'Sr': 1.0}",2.64,2.64,0.0,1,Sr1 Pd1.98 Ag0.02 Ge2
4,[25146],Bi3.97Ag0.03S3O4,Bi3.97Ag0.03S3O4,"{'Ag': 0.03, 'Bi': 3.9699999999999998, 'O': 4.0, 'S': 3.0}",4.2,4.2,0.0,1,Bi3.97 Ag0.03 S3 O4
5,[14866],Ag0.03Tl0.97,Ag0.03Tl0.97,"{'Ag': 0.03, 'Tl': 0.97}",2.67,2.67,0.0,1,Ag0.03 Tl0.97
6,[12794],Ag0.035Cd0.01Sn0.955,Ag0.035Cd0.01Sn0.955,"{'Ag': 0.035, 'Cd': 0.01, 'Sn': 0.9550000000000001}",3.65,3.65,0.0,1,Ag0.035 Cd0.01 Sn0.955
7,[13],Ba0.1La1.9Ag0.05Cu0.95O4-Y,Ba0.1La1.9Ag0.05Cu0.95O4,"{'Ag': 0.05, 'Ba': 0.1, 'Cu': 0.9500000000000001, 'La': 1.9, 'O': 4.0}",27.0,27.0,0.0,1,Ba0.1 La1.9 Ag0.05 Cu0.95 O4
8,[25147],Bi3.95Ag0.05S3O4,Bi3.95Ag0.05S3O4,"{'Ag': 0.05, 'Bi': 3.95, 'O': 4.0, 'S': 3.0}",3.52,3.52,0.0,1,Bi3.95 Ag0.05 S3 O4
9,[12802],Ag0.05Rh0.04Ti0.91,Ag0.05Rh0.04Ti0.91,"{'Ag': 0.05, 'Rh': 0.04, 'Ti': 0.91}",1.9500000000000002,1.9500000000000002,0.0,1,Ag0.05 Rh0.04 Ti0.91
10,[19305],Sn0.92Ag0.05Te1,Sn0.92Ag0.05Te1,"{'Ag': 0.05, 'Sn': 0.92, 'Te': 1.0}",1.6600000000000001,1.6600000000000001,0.0,1,Sn0.92 Ag0.05 Te1
11,[25148],Bi3.93Ag0.07S3O4,Bi3.93Ag0.07S3O4,"{'Ag': 0.07, 'Bi': 3.93, 'O': 4.0, 'S': 3.0}",2.1,2.1,0.0,1,Bi3.93 Ag0.07 S3 O4
12,[19304],Sn0.9Ag0.07Te1,Sn0.9Ag0.07Te1,"{'Ag': 0.07, 'Sn': 0.9, 'Te': 1.0}",1.73,1.73,0.0,1,Sn0.9 Ag0.07 Te1
13,"[2, 14]",Ba0.1La1.9Ag0.1Cu0.9O4-Y,Ba0.1La1.9Ag0.1Cu0.9O4,"{'Ag': 0.1, 'Ba': 0.1, 'Cu': 0.9, 'La': 1.9, 'O': 4.0}",27.0,26.5,0.5,2,Ba0.1 La1.9 Ag0.1 Cu0.9 O4
14,[25149],Bi3.9Ag0.1S3O4,Bi3.9Ag0.1S3O4,"{'Ag': 0.1, 'Bi': 3.9, 'O': 4.0, 'S': 3.0}",1.99,1.99,0.0,1,Bi3.9 Ag0.1 S3 O4
15,[2144],La1.85Ce0.15Cu0.9Ag0.1O4-Z,La1.85Ce0.15Cu0.9Ag0.1O4,"{'Ag': 0.1, 'Ce': 0.15, 'Cu': 0.9, 'La': 1.85, 'O': 4.0}",22.0,22.0,0.0,1,La1.85 Ce0.15 Cu0.9 Ag0.1 O4
16,[23180],Sr1Pd1.9Ag0.1Ge2,Sr1Pd1.9Ag0.1Ge2,"{'Ag': 0.1, 'Ge': 2.0, 'Pd': 1.9, 'Sr': 1.0}",2.62,2.62,0.0,1,Sr1 Pd1.9 Ag0.1 Ge2
17,[14862],Ag0.1In0.9Te1,Ag0.1In0.9Te1,"{'Ag': 0.1, 'In': 0.9, 'Te': 1.0}",1.2,1.2,0.0,1,Ag0.1 In0.9 Te1
18,"[12573, 19303]",Sn0.87Ag0.1Te1,Sn0.87Ag0.1Te1,"{'Ag': 0.1, 'Sn': 0.87, 'Te': 1.0}",1.88,1.83,0.05,2,Sn0.87 Ag0.1 Te1
19,[12817],Ag0.1Tl0.9,Ag0.1Tl0.9,"{'Ag': 0.1, 'Tl': 0.9}",3.5700000000000003,3.5700000000000003,0.0,1,Ag0.1 Tl0.9
20,[12797],Ag0.12In0.88,Ag0.12In0.88,"{'Ag': 0.12, 'In': 0.88}",4.69,4.69,0.0,1,Ag0.12 In0.88
21,[513],Y1Ba2Cu2.85Ag0.15O7,Y1Ba2Cu2.85Ag0.15O7,"{'Ag': 0.15, 'Ba': 2.0, 'Cu': 2.85, 'O': 7.0, 'Y': 1.0}",90.0,90.0,0.0,1,Y1 Ba2 Cu2.85 Ag0.15 O7
22,[12784],Ag0.15Bi0.85,Ag0.15Bi0.85,"{'Ag': 0.15, 'Bi': 0.85}",5.3,5.3,0.0,1,Ag0.15 Bi0.85
23,[12804],Ag0.15Pb0.975Sn0.01,Ag0.15Pb0.975Sn0.01,"{'Ag': 0.15, 'Pb': 0.975, 'Sn': 0.01}",7.25,7.25,0.0,1,Ag0.15 Pb0.975 Sn0.01
24,[24683],Sn0.85Ag0.15Te1,Sn0.85Ag0.15Te1,"{'Ag': 0.15, 'Sn': 0.85, 'Te': 1.0}",2.15,2.15,0.0,1,Sn0.85 Ag0.15 Te1
25,[166],Y1Ba1.99Cu2.847Ag0.153O6.7,Y1Ba1.99Cu2.847Ag0.153O6.7,"{'Ag': 0.153, 'Ba': 1.99, 'Cu': 2.847, 'O': 6.7, 'Y': 1.0}",86.0,86.0,0.0,1,Y1 Ba1.99 Cu2.847 Ag0.153 O6.7
26,[12788],Ag0.167Al0.833,Ag0.167Al0.833,"{'Ag': 0.167, 'Al': 0.833}",0.88,0.88,0.0,1,Ag0.167 Al0.833
27,[24503],Ba1Ag0.2Si1.8,Ba1Ag0.2Si1.8,"{'Ag': 0.2, 'Ba': 1.0, 'Si': 1.8}",3.2,3.2,0.0,1,Ba1 Ag0.2 Si1.8
28,[2145],La1.85Ce0.15Cu0.8Ag0.2O4-Z,La1.85Ce0.15Cu0.8Ag0.2O4,"{'Ag': 0.2, 'Ce': 0.15, 'Cu': 0.8, 'La': 1.85, 'O': 4.0}",16.5,16.5,0.0,1,La1.85 Ce0.15 Cu0.8 Ag0.2 O4
29,[23181],Sr1Pd1.8Ag0.2Ge2,Sr1Pd1.8Ag0.2Ge2,"{'Ag': 0.2, 'Ge': 2.0, 'Pd': 1.8, 'Sr': 1.0}",2.52,2.52,0.0,1,Sr1 Pd1.8 Ag0.2 Ge2
30,[14877],Ag0.2In0.8Te1,Ag0.2In0.8Te1,"{'Ag': 0.2, 'In': 0.8, 'Te': 1.0}",0.77,0.77,0.0,1,Ag0.2 In0.8 Te1
31,"[24684, 24825, 24829]",Sn0.8Ag0.2Te1,Sn0.8Ag0.2Te1,"{'Ag': 0.2, 'Sn': 0.8, 'Te': 1.0}",2.29,1.8633333333,0.4754179448,3,Sn0.8 Ag0.2 Te1
32,[15],Ba0.1La1.9Ag0.25Cu0.75O4-Y,Ba0.1La1.9Ag0.25Cu0.75O4,"{'Ag': 0.25, 'Ba': 0.1, 'Cu': 0.75, 'La': 1.9, 'O': 4.0}",26.0,26.0,0.0,1,Ba0.1 La1.9 Ag0.25 Cu0.75 O4
33,[3986],Ag0.25Cu0.75Ba2Ca3Cu4O11-z,Ag0.25Cu0.75Ba2Ca3Cu4O11,"{'Ag': 0.25, 'Ba': 2.0, 'Ca': 3.0, 'Cu': 4.75, 'O': 11.0}",117.1,117.1,0.0,1,Ag0.25 Cu4.75 Ba2 Ca3 O11
